"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 29, 2021","13.26","14.31","15.94","11.66","602.19M","53.65%"
"Jan 28, 2021","8.63","12.03","16.35","6.52","591.22M","-56.63%"
"Jan 27, 2021","19.90","20.31","20.32","11.01","1.25B","301.21%"
"Jan 26, 2021","4.96","5.05","5.17","4.38","456.85M","12.22%"
"Jan 25, 2021","4.42","4.71","4.88","3.87","443.24M","25.93%"
"Jan 24, 2021","3.51","3.51","3.51","3.51","-","0.00%"
"Jan 22, 2021","3.51","2.91","3.74","2.81","268.27M","17.79%"
"Jan 21, 2021","2.98","2.99","3.06","2.86","64.82M","0.34%"
"Jan 20, 2021","2.97","3.29","3.34","2.75","179.56M","-2.94%"
"Jan 19, 2021","3.06","2.80","3.20","2.57","248.88M","31.33%"
"Jan 15, 2021","2.33","2.20","2.55","2.18","162.36M","6.88%"
"Jan 14, 2021","2.18","2.22","2.32","2.13","48.90M","0.00%"
"Jan 13, 2021","2.18","2.33","2.38","2.13","45.85M","-4.80%"
"Jan 12, 2021","2.29","2.24","2.39","2.23","41.30M","4.09%"
"Jan 11, 2021","2.20","2.16","2.27","2.15","41.42M","2.80%"
"Jan 10, 2021","2.14","2.14","2.14","2.14","-","0.00%"
"Jan 09, 2021","2.14","2.14","2.14","2.14","-","0.00%"
"Jan 08, 2021","2.14","2.09","2.21","2.08","39.55M","4.39%"
"Jan 07, 2021","2.05","2.08","2.11","2.02","25.69M","1.99%"
"Jan 06, 2021","2.01","2.01","2.19","1.97","67.36M","1.52%"
"Jan 05, 2021","1.98","1.99","2.03","1.91","27.33M","-1.49%"
"Jan 04, 2021","2.01","2.18","2.18","2.00","29.87M","-5.19%"
"Dec 31, 2020","2.12","2.17","2.22","2.08","28.23M","-1.85%"
"Dec 30, 2020","2.16","2.30","2.30","2.13","39.81M","-5.68%"
"Dec 29, 2020","2.29","2.44","2.46","2.28","20.68M","-4.18%"
"Dec 28, 2020","2.39","2.63","2.63","2.36","23.29M","-4.78%"
"Dec 24, 2020","2.51","2.59","2.60","2.48","11.09M","-1.95%"
"Dec 23, 2020","2.56","2.58","2.65","2.54","15.72M","-1.16%"
"Dec 22, 2020","2.59","2.72","2.72","2.52","21.69M","-3.36%"
"Dec 21, 2020","2.68","2.60","2.74","2.60","22.70M","-4.29%"
"Dec 18, 2020","2.80","2.85","2.85","2.76","21.94M","-1.75%"
"Dec 17, 2020","2.85","2.80","2.95","2.74","23.80M","2.52%"
"Dec 16, 2020","2.78","2.86","2.88","2.72","25.42M","-2.80%"
"Dec 15, 2020","2.86","3.23","3.23","2.76","54.43M","-10.34%"
"Dec 14, 2020","3.19","4.01","4.01","3.00","66.65M","-18.62%"
"Dec 11, 2020","3.92","4.04","4.25","3.87","22.31M","-4.16%"
"Dec 10, 2020","4.09","3.79","4.10","3.77","17.97M","5.96%"
"Dec 09, 2020","3.86","4.22","4.33","3.75","20.73M","-3.02%"
"Dec 08, 2020","3.98","3.61","4.02","3.61","29.27M","11.80%"
"Dec 07, 2020","3.56","3.45","3.74","3.33","20.23M","1.42%"
"Dec 04, 2020","3.51","3.75","3.76","3.30","33.16M","-3.31%"
"Dec 03, 2020","3.63","4.01","4.22","3.50","65.23M","-15.97%"
"Dec 02, 2020","4.32","4.08","4.34","3.95","11.70M","4.10%"
"Dec 01, 2020","4.15","4.42","4.42","4.09","12.29M","-2.81%"
"Nov 30, 2020","4.27","4.41","4.45","3.99","16.45M","-4.04%"
"Nov 27, 2020","4.45","4.54","4.62","4.36","10.10M","-0.89%"
"Nov 25, 2020","4.49","4.57","4.85","4.20","22.65M","-1.97%"
"Nov 24, 2020","4.58","4.16","5.00","4.15","62.19M","20.21%"
"Nov 23, 2020","3.81","3.50","3.85","3.42","31.51M","13.73%"
"Nov 22, 2020","3.35","3.35","3.35","3.35","-","0.00%"
"Nov 20, 2020","3.35","3.25","3.37","3.21","17.09M","5.02%"
"Nov 19, 2020","3.19","3.16","3.38","3.15","13.76M","-2.15%"
"Nov 18, 2020","3.26","3.09","3.36","3.02","31.72M","9.40%"
"Nov 17, 2020","2.98","3.01","3.04","2.90","22.27M","-4.18%"
"Nov 16, 2020","3.11","3.39","3.39","3.05","47.60M","4.71%"
"Nov 15, 2020","2.97","2.97","2.97","2.97","-","0.00%"
"Nov 14, 2020","2.97","2.97","2.97","2.97","-","0.00%"
"Nov 13, 2020","2.97","2.98","2.99","2.78","20.55M","1.02%"
"Nov 12, 2020","2.94","3.07","3.07","2.92","14.63M","-6.07%"
"Nov 11, 2020","3.13","3.23","3.24","3.00","23.87M","-10.83%"
"Nov 10, 2020","3.51","3.99","4.03","3.34","41.69M","-6.90%"
"Nov 09, 2020","3.77","4.29","4.39","3.24","132.51M","51.41%"
"Nov 06, 2020","2.49","2.43","2.62","2.33","9.05M","1.22%"
"Nov 05, 2020","2.46","2.35","2.57","2.27","7.99M","6.49%"
"Nov 04, 2020","2.31","2.42","2.42","2.25","7.61M","-1.28%"
"Nov 03, 2020","2.34","2.38","2.58","2.30","15.44M","8.84%"
"Nov 02, 2020","2.15","2.30","2.32","2.11","11.18M","-8.90%"
"Oct 30, 2020","2.36","2.48","2.49","2.28","11.01M","-6.35%"
"Oct 29, 2020","2.52","2.65","2.65","2.48","9.02M","-3.45%"
