"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 29, 2021","325.00","378.91","411.50","250.00","50.57M","67.87%"
"Jan 28, 2021","193.60","275.01","481.99","119.99","58.82M","-44.29%"
"Jan 27, 2021","347.51","351.94","379.80","249.72","93.40M","134.84%"
"Jan 26, 2021","147.98","88.60","149.97","80.31","178.59M","92.71%"
"Jan 25, 2021","76.79","96.00","158.97","61.13","177.87M","18.12%"
"Jan 22, 2021","65.01","42.59","76.76","42.32","197.16M","51.08%"
"Jan 21, 2021","43.03","39.23","44.75","37.00","57.08M","9.99%"
"Jan 20, 2021","39.12","37.37","41.19","36.06","33.47M","-0.61%"
"Jan 19, 2021","39.36","41.66","45.46","36.67","74.72M","10.87%"
"Jan 15, 2021","35.50","38.49","40.75","34.01","46.87M","-11.05%"
"Jan 14, 2021","39.91","38.50","42.95","33.07","93.72M","27.10%"
"Jan 13, 2021","31.40","20.15","38.50","20.05","144.50M","57.39%"
"Jan 12, 2021","19.95","19.70","20.38","19.32","7.06M","0.05%"
"Jan 11, 2021","19.94","19.35","20.64","19.02","14.93M","12.72%"
"Jan 08, 2021","17.69","18.18","18.30","17.08","6.48M","-2.16%"
"Jan 07, 2021","18.08","18.78","19.43","18.03","6.13M","-1.53%"
"Jan 06, 2021","18.36","17.46","18.98","17.45","6.06M","5.70%"
"Jan 05, 2021","17.37","17.31","18.06","17.23","4.96M","0.70%"
"Jan 04, 2021","17.25","19.06","19.08","17.17","10.02M","-8.44%"
"Dec 31, 2020","18.84","19.25","19.80","18.80","6.92M","-2.18%"
"Dec 30, 2020","19.26","19.38","20.00","18.85","5.93M","-0.62%"
