"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 29, 2021","220.94","185.06","235.00","172.51","36.66M","64.87%"
"Jan 28, 2021","134.01","131.00","140.27","130.00","9.15M","2.16%"
"Jan 27, 2021","131.18","124.02","136.30","121.88","3.99M","3.16%"
"Jan 26, 2021","127.16","132.12","132.16","126.71","2.25M","-3.27%"
"Jan 25, 2021","131.46","127.88","131.50","125.35","3.01M","3.53%"
"Jan 22, 2021","126.98","123.15","127.21","121.43","2.60M","3.74%"
"Jan 21, 2021","122.40","125.40","129.75","122.12","2.47M","-2.12%"
"Jan 20, 2021","125.05","130.10","132.53","121.32","3.16M","-2.30%"
"Jan 19, 2021","128.00","129.68","136.67","127.00","3.92M","0.45%"
"Jan 15, 2021","127.43","129.69","135.71","126.92","3.31M","-1.96%"
"Jan 14, 2021","129.98","127.68","131.36","124.07","2.50M","2.99%"
"Jan 13, 2021","126.21","124.21","132.95","123.97","3.49M","1.67%"
"Jan 12, 2021","124.14","117.85","124.74","116.09","2.91M","6.58%"
"Jan 11, 2021","116.48","118.44","120.90","113.52","4.18M","-4.41%"
"Jan 08, 2021","121.86","129.94","137.58","120.66","5.39M","-4.93%"
"Jan 07, 2021","128.18","124.80","129.90","124.19","2.92M","3.59%"
"Jan 06, 2021","123.74","115.63","124.14","114.50","3.20M","6.45%"
"Jan 05, 2021","116.24","112.70","119.38","109.90","2.52M","2.89%"
"Jan 04, 2021","112.98","113.20","114.77","109.06","2.57M","1.32%"
"Dec 31, 2020","111.51","118.95","119.30","110.90","3.59M","-6.26%"
"Dec 30, 2020","118.96","121.75","125.20","116.75","2.80M","-1.09%"
"Dec 29, 2020","120.27","118.94","121.83","113.80","2.92M","2.93%"
"Dec 28, 2020","116.85","129.10","129.99","116.64","4.84M","-9.66%"
"Dec 24, 2020","129.34","127.52","132.23","122.06","3.69M","1.32%"
"Dec 23, 2020","127.65","111.71","130.00","107.20","6.68M","10.64%"
"Dec 22, 2020","115.37","123.45","123.80","109.00","6.37M","-7.00%"
"Dec 21, 2020","124.06","125.80","130.66","123.15","2.76M","-0.63%"
"Dec 18, 2020","124.85","130.97","130.99","122.83","4.24M","-5.24%"
"Dec 17, 2020","131.75","124.50","132.56","123.70","5.07M","8.99%"
"Dec 16, 2020","120.88","121.72","122.46","113.61","4.06M","-4.23%"
"Dec 15, 2020","126.22","130.46","130.46","120.72","2.73M","-2.68%"
"Dec 14, 2020","129.70","130.60","135.43","127.42","4.69M","3.86%"
"Dec 11, 2020","124.88","118.75","129.75","118.75","6.06M","8.51%"
"Dec 10, 2020","115.09","110.33","116.96","110.19","2.47M","-0.11%"
"Dec 09, 2020","115.22","123.00","123.05","106.12","5.56M","-4.08%"
"Dec 08, 2020","120.12","124.72","125.82","117.49","3.74M","-2.44%"
"Dec 07, 2020","123.12","127.01","130.37","122.85","3.27M","-2.48%"
"Dec 04, 2020","126.25","129.37","130.49","125.04","2.18M","-2.25%"
"Dec 03, 2020","129.16","125.49","131.35","125.14","3.23M","2.93%"
"Dec 02, 2020","125.48","120.64","127.72","115.63","3.97M","1.63%"
"Dec 01, 2020","123.47","149.95","150.00","120.00","12.36M","-11.49%"
"Nov 30, 2020","139.50","119.26","147.50","118.50","16.23M","10.99%"
"Nov 27, 2020","125.69","108.10","132.00","107.00","11.78M","22.50%"
"Nov 25, 2020","102.60","95.32","103.88","94.67","3.79M","7.63%"
"Nov 24, 2020","95.33","95.25","97.41","90.90","3.10M","1.44%"
"Nov 23, 2020","93.98","88.86","98.33","88.05","6.56M","8.58%"
"Nov 20, 2020","86.55","86.61","88.83","85.62","2.56M","0.17%"
"Nov 19, 2020","86.40","88.73","90.39","85.70","3.25M","-3.90%"
"Nov 18, 2020","89.91","91.00","93.21","87.58","2.53M","-3.21%"
"Nov 17, 2020","92.89","89.77","94.33","88.09","2.92M","2.47%"
"Nov 16, 2020","90.65","95.83","95.84","84.60","6.85M","-6.16%"
"Nov 13, 2020","96.60","93.19","98.24","91.40","3.74M","6.31%"
"Nov 12, 2020","90.87","85.71","95.29","85.71","4.96M","6.89%"
"Nov 11, 2020","85.01","80.06","88.18","80.06","3.99M","7.96%"
"Nov 10, 2020","78.74","85.51","85.51","76.66","6.85M","-12.81%"
"Nov 09, 2020","90.31","94.93","100.96","89.85","6.59M","0.50%"
"Nov 06, 2020","89.86","92.40","92.86","88.25","1.89M","-3.49%"
"Nov 05, 2020","93.11","89.54","93.35","87.73","2.23M","6.69%"
"Nov 04, 2020","87.27","84.78","88.67","84.78","2.27M","4.34%"
"Nov 03, 2020","83.64","82.25","84.48","80.68","1.81M","1.50%"
"Nov 02, 2020","82.40","82.27","85.59","80.76","1.86M","2.09%"
"Oct 30, 2020","80.71","86.23","86.99","78.50","3.01M","-7.90%"
"Oct 29, 2020","87.63","83.36","89.28","80.78","2.82M","7.75%"
"Oct 28, 2020","81.33","87.22","87.22","81.15","3.41M","-9.22%"
"Oct 27, 2020","89.59","87.19","93.68","87.19","2.90M","2.53%"
"Oct 26, 2020","87.38","91.33","94.15","86.71","2.77M","-6.17%"
"Oct 23, 2020","93.13","92.84","93.20","86.45","3.11M","-0.49%"
"Oct 22, 2020","93.59","90.65","95.44","89.02","2.57M","2.67%"
"Oct 21, 2020","91.16","97.51","97.99","90.60","3.40M","-7.32%"
"Oct 20, 2020","98.36","102.51","103.40","95.85","4.04M","-3.62%"
"Oct 19, 2020","102.05","107.79","107.94","100.52","2.71M","-4.66%"
"Oct 16, 2020","107.04","111.68","112.50","106.01","2.12M","-3.93%"
"Oct 15, 2020","111.42","108.45","112.89","106.64","2.30M","-0.30%"
"Oct 14, 2020","111.76","119.80","121.92","111.76","2.45M","-4.71%"
"Oct 13, 2020","117.28","111.13","120.55","111.13","4.43M","6.41%"
"Oct 12, 2020","110.22","111.31","112.62","109.42","1.79M","-0.90%"
"Oct 09, 2020","111.22","112.30","115.60","111.08","2.42M","0.18%"
"Oct 08, 2020","111.02","111.00","114.33","109.50","2.35M","0.93%"
"Oct 07, 2020","110.00","108.61","110.28","107.53","1.86M","2.41%"
"Oct 06, 2020","107.41","109.20","113.08","106.22","2.49M","-2.51%"
"Oct 05, 2020","110.17","105.52","110.65","104.10","3.21M","6.34%"
"Oct 02, 2020","103.60","101.70","107.99","100.22","2.73M","-1.24%"
"Oct 01, 2020","104.90","109.38","109.38","103.10","3.70M","-3.18%"
"Sep 30, 2020","108.35","107.35","116.25","107.26","4.85M","0.37%"
"Sep 29, 2020","107.95","107.48","109.54","105.10","3.23M","-2.91%"
"Sep 28, 2020","111.18","116.60","117.52","106.50","6.17M","-2.10%"
"Sep 25, 2020","113.56","107.48","117.35","105.80","8.34M","10.86%"
"Sep 24, 2020","102.44","98.19","107.02","96.75","3.34M","0.86%"
"Sep 23, 2020","101.57","111.80","112.01","101.15","3.22M","-9.01%"
"Sep 22, 2020","111.63","109.94","112.40","106.42","2.41M","1.34%"
"Sep 21, 2020","110.15","102.57","110.55","102.57","3.24M","1.65%"
"Sep 18, 2020","108.36","114.94","114.94","104.78","5.82M","-6.19%"
"Sep 17, 2020","115.51","118.62","125.99","112.12","5.53M","-3.85%"
"Sep 16, 2020","120.13","109.49","126.50","108.98","10.82M","8.87%"
"Sep 15, 2020","110.34","110.00","112.25","106.18","6.78M","4.29%"
"Sep 14, 2020","105.80","96.88","106.40","94.97","7.98M","10.84%"
"Sep 11, 2020","95.45","94.00","97.98","92.10","5.30M","2.79%"
"Sep 10, 2020","92.86","92.83","99.25","90.70","4.66M","2.22%"
"Sep 09, 2020","90.84","88.25","91.84","86.23","3.78M","6.48%"
"Sep 08, 2020","85.31","86.99","92.37","83.31","5.63M","-8.20%"
"Sep 04, 2020","92.93","100.94","104.47","86.66","7.67M","-9.76%"
"Sep 03, 2020","102.98","112.40","113.94","102.62","7.54M","0.08%"
"Sep 02, 2020","102.90","100.08","105.30","94.46","6.36M","-2.07%"
"Sep 01, 2020","105.08","108.22","110.29","102.30","4.80M","-4.77%"
"Aug 31, 2020","110.34","116.09","117.58","106.80","6.24M","2.41%"
"Aug 28, 2020","107.74","108.10","110.17","102.00","3.22M","0.36%"
"Aug 27, 2020","107.35","114.81","116.36","106.45","4.83M","-6.34%"
"Aug 26, 2020","114.62","107.00","122.60","106.80","6.99M","1.33%"
"Aug 25, 2020","113.11","107.27","117.73","97.37","13.01M","-5.16%"
"Aug 24, 2020","119.26","131.03","132.50","117.00","8.48M","-13.34%"
"Aug 21, 2020","137.62","142.38","145.80","133.30","5.66M","-3.85%"
"Aug 20, 2020","143.13","142.65","148.58","142.58","3.73M","-2.67%"
"Aug 19, 2020","147.06","141.01","148.99","140.00","5.33M","0.57%"
"Aug 18, 2020","146.23","152.68","154.00","138.63","7.44M","-5.98%"
"Aug 17, 2020","155.53","149.99","155.69","145.38","5.69M","6.16%"
"Aug 14, 2020","146.51","144.00","151.00","137.62","13.72M","9.93%"
"Aug 13, 2020","133.28","127.43","140.65","127.00","10.78M","7.12%"
"Aug 12, 2020","124.42","147.01","148.17","112.51","17.94M","-16.76%"
"Aug 11, 2020","149.48","167.98","168.62","144.19","15.23M","-16.26%"
"Aug 10, 2020","178.51","175.88","181.69","172.89","7.61M","4.83%"
"Aug 07, 2020","170.29","168.63","178.56","166.26","6.54M","1.67%"
"Aug 06, 2020","167.50","178.00","178.00","160.40","7.88M","-3.45%"
"Aug 05, 2020","173.49","181.94","189.39","165.20","17.88M","10.38%"
"Aug 04, 2020","157.17","156.50","157.17","150.28","11.52M","0.83%"
"Aug 03, 2020","155.87","145.49","159.94","145.00","6.76M","8.92%"
"Jul 31, 2020","143.10","147.61","148.78","142.00","4.23M","-2.40%"
"Jul 30, 2020","146.62","140.30","148.82","139.78","5.41M","0.87%"
"Jul 29, 2020","145.36","152.50","154.70","143.53","5.64M","-2.18%"
"Jul 28, 2020","148.60","139.43","151.00","136.57","5.91M","6.45%"
"Jul 27, 2020","139.60","134.63","141.25","132.00","5.04M","4.23%"
"Jul 24, 2020","133.93","133.20","136.09","126.55","4.82M","-4.05%"
"Jul 23, 2020","139.59","144.70","151.15","134.34","5.92M","-4.68%"
"Jul 22, 2020","146.45","135.82","147.46","133.36","6.14M","4.09%"
"Jul 21, 2020","140.69","140.48","148.83","134.81","8.87M","1.78%"
"Jul 20, 2020","138.23","149.49","151.20","124.10","12.74M","-1.61%"
"Jul 17, 2020","140.49","128.89","144.54","127.80","15.20M","16.79%"
"Jul 16, 2020","120.29","110.00","122.68","110.00","6.94M","8.22%"
"Jul 15, 2020","111.15","110.21","114.94","105.80","5.25M","1.07%"
"Jul 14, 2020","109.97","107.15","112.56","99.25","5.39M","5.42%"
"Jul 13, 2020","104.32","95.59","113.98","95.39","8.64M","10.56%"
"Jul 10, 2020","94.36","94.00","98.61","93.51","3.07M","-2.01%"
"Jul 09, 2020","96.30","98.32","100.99","93.55","4.35M","-2.03%"
"Jul 08, 2020","98.30","103.45","104.98","95.53","7.90M","-5.99%"
"Jul 07, 2020","104.56","105.00","111.60","95.70","26.48M","31.62%"
"Jul 06, 2020","79.44","80.14","81.09","76.20","3.83M","-2.69%"
"Jul 02, 2020","81.64","77.47","84.30","75.40","5.21M","2.43%"
"Jul 01, 2020","79.70","79.47","82.52","76.81","6.61M","-4.38%"
"Jun 30, 2020","83.35","85.97","89.44","80.72","7.78M","-0.31%"
"Jun 29, 2020","83.61","80.75","88.96","78.77","8.69M","8.04%"
"Jun 26, 2020","77.39","79.73","81.43","70.31","13.52M","-7.36%"
"Jun 25, 2020","83.54","81.23","86.43","80.07","10.74M","7.79%"
"Jun 24, 2020","77.50","70.40","80.68","70.03","10.96M","11.25%"
"Jun 23, 2020","69.66","63.01","69.97","63.01","6.14M","5.63%"
"Jun 22, 2020","65.95","67.88","67.88","59.31","8.43M","1.85%"
"Jun 19, 2020","64.75","63.28","66.06","61.75","11.57M","9.25%"
"Jun 18, 2020","59.27","55.37","59.80","55.15","5.65M","6.97%"
"Jun 17, 2020","55.41","52.27","58.30","51.97","9.35M","6.25%"
"Jun 16, 2020","52.15","51.24","52.52","48.26","5.03M","2.11%"
"Jun 15, 2020","51.07","45.91","51.51","45.26","8.70M","12.07%"
"Jun 12, 2020","45.57","45.55","45.76","43.60","3.30M","2.57%"
"Jun 11, 2020","44.43","43.20","47.47","43.14","4.09M","-1.18%"
"Jun 10, 2020","44.96","46.26","46.36","44.39","2.31M","-2.11%"
"Jun 09, 2020","45.93","44.34","48.36","44.09","3.88M","2.55%"
"Jun 08, 2020","44.79","44.66","45.14","42.19","4.81M","-3.26%"
"Jun 05, 2020","46.30","49.46","50.49","45.26","8.08M","3.67%"
"Jun 04, 2020","44.66","42.95","46.60","42.89","5.71M","0.93%"
"Jun 03, 2020","44.25","48.99","49.08","40.50","16.95M","-10.86%"
"Jun 02, 2020","49.64","52.74","52.74","47.66","6.54M","-6.02%"
"Jun 01, 2020","52.82","46.16","53.95","45.85","9.71M","14.73%"
"May 29, 2020","46.04","44.72","46.22","44.30","4.12M","2.68%"
"May 28, 2020","44.84","46.10","46.60","44.60","4.96M","-1.39%"
"May 27, 2020","45.47","48.14","48.20","41.00","10.44M","-5.61%"
"May 26, 2020","48.17","54.25","54.36","46.77","22.05M","4.47%"
"May 22, 2020","46.11","48.50","49.74","45.12","6.08M","-7.91%"
"May 21, 2020","50.07","52.87","53.53","49.62","5.48M","-5.19%"
"May 20, 2020","52.81","54.29","54.37","48.00","8.18M","-2.02%"
"May 19, 2020","53.90","58.29","60.97","52.08","12.58M","-5.37%"
"May 18, 2020","56.96","49.18","61.49","48.53","24.66M","30.55%"
"May 15, 2020","43.63","38.34","45.92","38.29","21.89M","13.92%"
"May 14, 2020","38.30","39.03","40.22","37.40","7.83M","-5.83%"
"May 13, 2020","40.67","39.39","42.78","37.50","24.24M","2.13%"
"May 12, 2020","39.82","39.02","44.94","36.08","74.65M","62.53%"
"May 11, 2020","24.50","19.81","24.60","19.62","24.64M","30.81%"
"May 08, 2020","18.73","18.20","18.92","17.91","3.08M","3.20%"
"May 07, 2020","18.15","17.31","18.72","16.92","3.40M","5.89%"
"May 06, 2020","17.14","17.72","18.04","16.98","2.48M","-3.60%"
"May 05, 2020","17.78","18.25","18.70","17.74","2.95M","-1.55%"
"May 04, 2020","18.06","17.00","18.41","16.75","3.74M","4.21%"
"May 01, 2020","17.33","17.80","18.65","16.41","4.76M","-4.41%"
"Apr 30, 2020","18.13","18.85","19.30","17.88","4.55M","-1.52%"
"Apr 29, 2020","18.41","20.02","20.30","18.00","6.51M","-10.39%"
"Apr 28, 2020","20.55","21.40","21.66","19.62","3.98M","-2.21%"
"Apr 27, 2020","21.01","20.20","21.85","20.00","5.28M","5.95%"
"Apr 24, 2020","19.83","20.32","20.45","18.72","4.97M","-2.70%"
"Apr 23, 2020","20.38","21.42","21.95","20.19","4.91M","-4.63%"
"Apr 22, 2020","21.37","22.98","23.10","20.07","6.49M","-0.74%"
"Apr 21, 2020","21.53","24.04","26.10","19.18","15.52M","-9.54%"
"Apr 20, 2020","23.80","19.10","26.34","18.95","27.01M","24.74%"
"Apr 17, 2020","19.08","18.10","19.80","17.73","7.48M","5.41%"
"Apr 16, 2020","18.10","17.60","18.49","17.57","4.19M","3.25%"
"Apr 15, 2020","17.53","17.55","17.94","17.11","3.46M","-2.61%"
"Apr 14, 2020","18.00","17.85","18.12","17.21","3.94M","2.04%"
"Apr 13, 2020","17.64","17.85","17.89","17.05","4.11M","3.46%"
"Apr 09, 2020","17.05","17.45","17.85","16.81","4.77M","-0.76%"
"Apr 08, 2020","17.18","17.15","18.25","16.30","13.83M","15.30%"
"Apr 07, 2020","14.90","15.79","16.00","14.38","4.70M","-7.45%"
