Date,Open,High,Low,Close,Volume,Daily Change
2019-01-02,12.45,13.18,12.42,13.07,2124200,0.0
2019-01-03,12.98,13.26,12.69,12.97,1750353,-0.007651109410864554
2019-01-04,14.03,15.29,13.7,15.24,11915692,0.17501927525057814
2019-01-07,15.11,15.81,14.94,15.48,4718028,0.015748031496062964
2019-01-08,15.5,15.88,15.15,15.81,3444019,0.02131782945736438
2019-01-09,15.84,16.39,15.72,15.98,3554522,0.010752688172043001
2019-01-10,15.74,16.0,15.52,15.96,2904811,-0.0012515644555693983
2019-01-11,15.86,16.05,15.77,15.85,2419772,-0.006892230576441172
2019-01-14,15.84,16.14,15.57,15.64,3610862,-0.013249211356466839
2019-01-15,15.6,15.64,15.19,15.53,2228220,-0.00703324808184147
2019-01-16,15.57,15.89,15.38,15.68,1992649,0.00965872504829357
2019-01-17,15.49,15.82,15.3,15.77,1743004,0.005739795918367374
2019-01-18,16.02,16.9,15.88,15.93,8547184,0.010145846544071135
2019-01-22,15.81,15.9,15.16,15.27,3188729,-0.04143126177024481
2019-01-23,15.31,15.57,15.13,15.48,1836950,0.013752455795677854
2019-01-24,15.48,15.8,15.44,15.8,1282019,0.02067183462532296
2019-01-25,15.96,16.06,15.73,15.9,1915249,0.006329113924050667
2019-01-28,15.74,15.79,14.99,15.5,2984869,-0.02515723270440251
2019-01-29,12.39,12.5,11.11,11.28,32870300,-0.2722580645161291
2019-01-30,11.25,11.37,11.11,11.2,6150980,-0.007092198581560294
2019-01-31,11.17,11.53,11.1,11.34,6049613,0.012499999999999956
2019-02-01,11.31,11.43,11.18,11.24,3477403,-0.008818342151675429
2019-02-04,11.24,11.48,11.0,11.37,4271461,0.011565836298932375
2019-02-05,11.36,11.81,11.35,11.79,4271089,0.03693931398416894
2019-02-06,11.62,11.7,11.4,11.51,3479705,-0.02374893977947412
2019-02-07,11.4,11.59,11.22,11.47,2021053,-0.0034752389226758718
2019-02-08,11.39,11.49,11.31,11.35,1801574,-0.010462074978204061
2019-02-11,11.38,11.39,11.16,11.3,1918558,-0.004405286343612258
2019-02-12,11.3,11.59,11.3,11.55,2678043,0.022123893805309658
2019-02-13,11.56,11.74,11.38,11.47,2133156,-0.006926406926406892
2019-02-14,11.37,11.42,11.24,11.33,2468492,-0.012205754141238034
2019-02-15,11.33,11.44,11.28,11.43,2211823,0.008826125330979595
