Date,Open,High,Low,Close,Volume,Daily Change
2019-01-02,61.22,63.03,59.76,62.02,58293240,0.0
2019-01-03,61.4,61.88,59.48,60.07,34825920,-0.0314414704933893
2019-01-04,61.2,63.6,60.55,63.54,36970580,0.057765939736973415
2019-01-07,64.34,67.35,63.55,66.99,37756124,0.05429650613786574
2019-01-08,68.39,68.8,65.4,67.07,35042580,0.001194208090759874
2019-01-09,67.1,68.7,66.29,67.71,27164724,0.009542269270911063
2019-01-10,66.88,69.08,66.36,68.99,30281770,0.018904150051691104
2019-01-11,68.42,69.68,67.75,69.45,25195260,0.006667632990288608
2019-01-14,68.48,68.5,66.8,66.88,26236420,-0.03700503959683232
2019-01-15,67.0,69.76,66.9,68.89,30282950,0.03005382775119636
2019-01-16,68.96,70.4,68.7,69.21,23458696,0.004645086369574614
2019-01-17,69.24,70.3,68.83,69.46,18383664,0.0036121947695419987
2019-01-18,64.6,65.43,59.95,60.45,120753816,-0.12971494385257687
2019-01-22,60.96,61.6,59.1,59.78,60333704,-0.011083540115798263
2019-01-23,58.5,58.9,56.34,57.52,62649964,-0.0378052860488457
2019-01-24,56.61,58.74,55.86,58.3,40060776,0.01356050069541026
2019-01-25,58.88,59.7,57.91,59.41,36290392,0.01903945111492278
2019-01-28,58.58,59.49,57.55,59.28,32116396,-0.002188183807439792
2019-01-29,59.05,59.71,58.36,59.49,23108460,0.003542510121457454
2019-01-30,60.09,61.8,59.7,61.75,56251592,0.03798957808034964
2019-01-31,60.2,62.31,58.8,61.4,62846224,-0.005668016194331993
2019-02-01,61.08,63.22,60.7,62.44,36417204,0.01693811074918572
2019-02-04,62.6,63.06,60.38,62.58,36760408,0.0022421524663678305
2019-02-05,62.5,64.49,62.45,64.27,33713824,0.027005433045701466
2019-02-06,63.92,64.85,63.12,63.44,25192730,-0.012914267932161216
2019-02-07,62.66,62.94,60.6,61.5,32603056,-0.030580075662042794
2019-02-08,61.37,61.49,59.7,61.16,29221060,-0.0055284552845529245
2019-02-11,62.32,63.72,62.1,62.57,35648564,0.02305428384565089
2019-02-12,63.24,63.64,61.92,62.36,27587850,-0.0033562410100687057
2019-02-13,62.47,62.55,61.11,61.63,25708084,-0.011706221937139105
2019-02-14,60.68,61.35,60.2,60.75,26004160,-0.01427876034398834
2019-02-15,60.9,61.6,60.78,61.58,19524736,0.01366255144032924
2019-02-19,61.31,62.31,61.09,61.13,20842216,-0.007307567392010328
2019-02-20,60.88,61.26,59.8,60.51,35710584,-0.010142319646654796
2019-02-21,60.36,60.65,58.1,58.25,44545912,-0.03734919847959017
2019-02-22,58.9,59.3,58.42,58.94,28702790,0.011845493562231635
2019-02-25,59.58,60.58,59.4,59.75,33132610,0.013742789277231049
2019-02-26,58.44,60.4,57.75,59.57,42912676,-0.003012552301255189
2019-02-27,60.36,63.26,60.11,62.95,55919540,0.056739969783448085
2019-02-28,63.78,64.0,62.16,63.98,52603264,0.016362192216044402
2019-03-01,61.39,61.43,58.38,58.96,114556872,-0.07846201938105657
2019-03-04,59.62,59.8,56.56,57.07,85484088,-0.032055630936227986
2019-03-05,56.4,56.8,54.02,55.31,93823696,-0.030839320133169812
2019-03-06,55.3,56.3,54.88,55.25,51677424,-0.0010847947929850665
2019-03-07,55.77,56.94,54.85,55.32,47212416,0.0012669683257917619
2019-03-08,55.38,57.12,55.18,56.83,44098124,0.027295733911785858
2019-03-11,56.7,58.26,56.1,58.18,36961392,0.023755058947738883
2019-03-12,57.3,57.61,56.21,56.67,37520684,-0.025953936060501892
2019-03-13,56.78,58.4,56.54,57.79,34223596,0.01976354332098107
2019-03-14,58.49,59.08,57.66,57.99,35517236,0.0034608063678838175
2019-03-15,56.7,56.74,54.88,55.09,73927656,-0.05000862217623725
2019-03-18,55.2,55.61,53.46,53.9,51404900,-0.0216010165184245
2019-03-19,53.5,54.66,52.69,53.49,59003152,-0.007606679035250363
2019-03-20,53.94,54.99,53.26,54.72,34541120,0.0229949523275379
2019-03-21,54.52,55.29,53.69,54.8,29735490,0.0014619883040936088
2019-03-22,54.52,54.56,52.8,52.91,43728044,-0.03448905109489053
2019-03-25,51.94,52.64,50.89,52.08,51075144,-0.015687015687015693
2019-03-26,52.89,54.05,52.89,53.55,36754740,0.02822580645161299
2019-03-27,53.75,55.07,53.64,54.97,43895832,0.026517273576097233
2019-03-28,55.43,56.07,55.02,55.72,33870464,0.01364380571220658
2019-03-29,55.74,56.03,54.9,55.97,29956690,0.004486719310839993
2019-04-01,56.52,57.84,56.26,57.84,40552196,0.033410755762015354
2019-04-02,57.66,57.89,56.78,57.18,27394700,-0.011410788381742809
2019-04-03,57.46,59.23,57.43,58.36,39649320,0.020636586218957698
2019-04-04,52.38,54.24,52.12,53.56,118603648,-0.08224811514736119
2019-04-05,53.97,55.22,53.22,54.99,65191284,0.02669902912621369
2019-04-08,55.54,56.23,54.09,54.64,52052180,-0.006364793598836127
2019-04-09,54.33,55.0,53.92,54.46,29520156,-0.0032942898975110158
2019-04-10,55.35,55.68,54.58,55.21,35306568,0.013771575468233488
2019-04-11,53.66,54.1,53.12,53.68,49179636,-0.027712370947292175
2019-04-12,54.04,54.39,53.37,53.54,33729872,-0.002608047690014881
2019-04-15,53.73,53.78,51.73,53.28,50192896,-0.004856182293612177
2019-04-16,53.15,55.0,52.94,54.67,36364648,0.026088588588588646
2019-04-17,54.95,54.96,53.71,54.25,25632340,-0.007682458386683799
2019-04-18,54.25,54.97,53.95,54.65,29381624,0.007373271889400845
2019-04-22,53.8,53.94,52.5,52.55,60735704,-0.038426349496797796
2019-04-23,52.03,53.12,51.15,52.78,54719296,0.004376784015223567
2019-04-24,52.77,53.06,51.6,51.73,53637272,-0.019893899204244114
2019-04-25,51.0,51.8,49.21,49.53,109246968,-0.042528513435143966
2019-04-26,49.3,49.34,46.23,47.03,111803544,-0.050474459923278814
2019-04-29,47.17,48.8,46.43,48.29,83572384,0.026791409738464722
2019-04-30,48.41,48.84,47.4,47.74,47323140,-0.011389521640091105
2019-05-01,47.77,48.0,46.3,46.8,53521768,-0.019689987431922962
2019-05-02,49.1,49.43,47.54,48.82,90796696,0.04316239316239323
2019-05-03,48.77,51.32,48.7,51.01,118533856,0.04485866448176967
2019-05-06,50.0,51.67,49.7,51.07,54169716,0.0011762399529504641
2019-05-07,51.36,51.44,49.02,49.41,50657040,-0.03250440571764257
2019-05-08,49.39,50.12,48.84,48.97,30882200,-0.008905079943331229
2019-05-09,48.4,48.74,47.39,48.4,33556912,-0.011639779456810273
2019-05-10,47.95,48.4,47.2,47.9,35041680,-0.010330578512396715
2019-05-13,46.4,46.49,44.9,45.4,54173980,-0.05219206680584554
2019-05-14,45.86,46.9,45.6,46.46,36262060,0.023348017621145356
2019-05-15,45.86,46.49,45.05,46.39,36479880,-0.0015066724063710346
2019-05-16,45.9,46.2,45.3,45.67,37416364,-0.015520586333261477
2019-05-17,44.39,44.45,41.78,42.21,88933328,-0.07576089336544778
2019-05-20,40.56,41.2,39.05,41.07,102630976,-0.027007818052594224
2019-05-21,39.55,41.48,39.21,41.02,90019496,-0.0012174336498660399
2019-05-22,39.82,40.79,38.36,38.55,93425936,-0.060214529497806035
2019-05-23,38.87,39.89,37.24,39.1,132735712,0.014267185473411326
2019-05-24,39.97,40.0,37.75,38.13,70682864,-0.0248081841432225
2019-05-28,38.24,39.0,37.57,37.74,51564504,-0.010228166797797034
2019-05-29,37.42,38.48,37.01,37.97,59843192,0.006094329623741235
2019-05-30,37.75,38.45,37.4,37.64,39632376,-0.00869107189886753
2019-05-31,37.02,37.98,36.82,37.03,52033660,-0.01620616365568539
2019-06-03,37.1,37.34,35.4,35.79,65322048,-0.03348636240885772
2019-06-04,36.22,38.8,35.92,38.72,69037608,0.08186644314054203
2019-06-05,39.74,40.26,38.37,39.32,67553776,0.015495867768595017
2019-06-06,40.89,42.2,40.36,41.19,101210752,0.04755849440488302
2019-06-07,41.0,42.17,40.7,40.9,80017632,-0.007040543821315803
2019-06-10,42.05,43.39,41.8,42.58,52925196,0.04107579462102695
2019-06-11,43.83,44.18,42.7,43.42,58267684,0.019727571629873264
2019-06-12,44.59,44.68,41.8,41.85,75987720,-0.03615845232611703
2019-06-13,42.08,42.98,41.5,42.78,40841300,0.022222222222222143
2019-06-14,42.25,43.33,42.08,42.98,37167008,0.004675081813931614
2019-06-17,43.1,45.4,42.85,45.01,61584016,0.04723127035830621
2019-06-18,45.74,46.95,44.51,44.95,63578940,-0.0013330371028659194
2019-06-19,45.02,45.55,44.21,45.29,32875676,0.007563959955505961
2019-06-20,44.6,45.38,43.27,43.92,59317312,-0.0302495032015897
2019-06-21,43.24,44.44,43.1,44.37,41010392,0.010245901639344135
2019-06-24,44.65,45.17,44.2,44.73,28753856,0.008113590263691739
2019-06-25,44.88,45.07,43.9,43.95,30910356,-0.017437961099932786
2019-06-26,44.06,45.45,43.62,43.85,42536040,-0.0022753128555176305
2019-06-27,43.89,44.58,43.47,44.57,31698550,0.01641961231470912
2019-06-28,44.2,45.03,44.16,44.69,34256920,0.0026923939869867297
2019-07-01,46.04,46.62,45.26,45.43,41189820,0.016558514208995456
2019-07-02,45.78,45.83,44.44,44.91,46295136,-0.01144618093770644
2019-07-03,47.88,48.31,46.9,46.98,71005744,0.04609218436873741
2019-07-05,46.91,47.09,46.16,46.62,35328688,-0.007662835249042099
2019-07-08,46.25,46.45,45.73,46.07,29402710,-0.011797511797511762
2019-07-09,45.79,46.2,45.46,46.01,30954176,-0.0013023659648361274
2019-07-10,46.83,47.79,46.63,47.78,45728680,0.03846989784829402
2019-07-11,47.63,48.3,47.16,47.72,37572152,-0.0012557555462536785
2019-07-12,47.95,49.08,47.94,49.02,46002604,0.027242246437552575
2019-07-15,49.6,50.88,48.97,50.7,55000460,0.03427172582619331
2019-07-16,49.86,50.71,49.59,50.48,40744944,-0.004339250493096802
2019-07-17,51.13,51.66,50.67,50.97,48823636,0.009706814580031642
2019-07-18,51.01,51.15,50.38,50.71,23822416,-0.00510103982734933
2019-07-19,51.14,51.99,50.92,51.64,35242048,0.018339577992506406
2019-07-22,51.75,52.43,50.84,51.14,34231364,-0.00968241673121606
2019-07-23,51.34,52.1,50.9,52.03,25115604,0.01740320688306607
2019-07-24,51.83,53.21,51.63,52.98,55364176,0.01825869690563131
2019-07-25,46.7,46.9,45.11,45.76,112091264,-0.1362778406946017
2019-07-26,45.38,46.05,44.45,45.61,50138484,-0.003277972027971976
2019-07-29,45.42,47.19,45.21,47.15,46366656,0.03376452532339402
2019-07-30,46.58,48.67,46.44,48.45,40545072,0.02757158006362692
2019-07-31,48.6,49.34,47.33,48.32,45891040,-0.002683178534571784
2019-08-01,48.53,48.9,46.35,46.77,41297580,-0.0320778145695364
2019-08-02,46.27,47.25,45.85,46.87,30682404,0.0021381227282444293
2019-08-05,45.92,46.27,45.16,45.66,35141396,-0.025816087049285286
2019-08-06,46.38,46.5,45.15,46.15,27821000,0.010731493648707957
2019-08-07,45.3,46.71,45.16,46.68,23882500,0.011484290357529847
2019-08-08,46.89,47.96,46.53,47.66,26371744,0.02099400171379595
2019-08-09,47.21,47.79,46.76,47.0,19491220,-0.013848090642047728
2019-08-12,46.6,47.15,45.75,45.8,23319684,-0.025531914893617058
2019-08-13,45.76,47.2,45.51,47.0,24344990,0.026200873362445476
2019-08-14,46.24,46.3,43.34,43.92,47812956,-0.06553191489361698
2019-08-15,44.17,44.31,42.31,43.13,41159760,-0.017987249544626605
2019-08-16,43.33,44.45,43.2,43.99,26036880,0.01993971713424525
2019-08-19,44.84,45.57,44.34,45.37,26558740,0.03137076608320055
2019-08-20,45.52,45.82,44.91,45.17,20852636,-0.004408199250605982
2019-08-21,44.4,44.64,43.52,44.17,38998720,-0.02213858755811382
2019-08-22,44.56,45.08,43.64,44.43,32824820,0.0058863482001358935
2019-08-23,43.99,44.23,42.2,42.28,42798520,-0.04839072698627056
2019-08-26,42.72,43.0,42.31,43.0,25272070,0.017029328287606393
2019-08-27,43.15,43.76,42.41,42.82,27103636,-0.0041860465116279055
2019-08-28,42.74,43.45,42.46,43.12,16193125,0.007006071929005042
2019-08-29,43.8,44.68,43.6,44.34,25915520,0.028293135435992767
2019-08-30,45.83,46.49,44.84,45.12,46638876,0.017591339648173054
2019-09-03,44.82,45.79,44.63,45.0,26802730,-0.0026595744680850686
2019-09-04,45.38,45.69,43.84,44.14,28843480,-0.01911111111111108
2019-09-05,44.5,45.96,44.17,45.92,37016608,0.04032623470774821
2019-09-06,45.44,45.93,45.03,45.49,20946860,-0.009364111498257888
2019-09-09,46.0,46.75,45.85,46.36,24013344,0.019125082435700103
2019-09-10,46.16,47.11,45.79,47.11,24418570,0.01617773943054357
2019-09-11,47.48,49.63,47.2,49.42,50213884,0.04903417533432397
2019-09-12,49.54,50.7,48.88,49.17,42906048,-0.005058680696074513
2019-09-13,49.39,49.69,48.97,49.04,26565724,-0.002643888549928919
2019-09-16,49.2,49.49,48.23,48.56,23640480,-0.009787928221859588
2019-09-17,48.49,49.12,48.07,48.96,19734544,0.008237232289950658
2019-09-18,49.0,49.63,48.47,48.7,21140516,-0.00531045751633985
2019-09-19,49.2,49.59,48.97,49.32,24415676,0.012731006160164204
2019-09-20,49.3,49.39,47.63,48.12,32531320,-0.024330900243309084
2019-09-23,48.0,49.04,47.84,48.25,21958150,0.0027015793848712555
2019-09-24,48.3,48.4,44.52,44.64,64705560,-0.07481865284974087
2019-09-25,44.91,45.8,43.67,45.74,47221432,0.02464157706093184
2019-09-26,46.13,48.66,45.48,48.51,60393924,0.06055968517708776
2019-09-27,48.44,49.74,47.75,48.43,55615896,-0.0016491445062872812
2019-09-30,48.6,48.8,47.22,48.17,29730804,-0.005368573198430648
2019-10-01,48.3,49.19,47.83,48.94,30981450,0.015985052937512956
2019-10-02,48.66,48.93,47.89,48.63,31282740,-0.0063342868818960785
2019-10-03,46.37,46.9,44.86,46.61,75688816,-0.0415381451778738
2019-10-04,46.32,46.96,45.61,46.29,40105900,-0.0068654795108346045
2019-10-07,45.96,47.71,45.71,47.54,40434784,0.027003672499460007
2019-10-08,47.17,48.79,46.9,48.01,43511688,0.009886411442995291
2019-10-09,48.26,49.46,48.13,48.91,34675164,0.01874609456363263
2019-10-10,49.06,49.86,48.32,48.95,31567084,0.0008178286648947708
2019-10-11,49.43,50.22,49.36,49.58,42440796,0.01287027579162392
2019-10-14,49.58,51.71,49.43,51.39,51134316,0.03650665590964097
2019-10-15,51.54,52.0,50.82,51.58,32397280,0.0036972173574625344
2019-10-16,51.48,52.42,51.38,51.95,33521516,0.007173322993408338
2019-10-17,52.5,52.96,52.03,52.39,23895216,0.008469682386910371
2019-10-18,52.14,52.56,51.02,51.39,28768330,-0.01908761213972132
2019-10-21,51.67,51.9,50.04,50.7,25540504,-0.013426736719206023
2019-10-22,50.86,51.67,50.17,51.12,23125476,0.008284023668639007
2019-10-23,50.9,51.23,50.27,50.94,56080912,-0.0035211267605633756
2019-10-24,59.67,60.99,57.84,59.94,149096160,0.1766784452296819
2019-10-25,59.54,66.0,59.22,65.63,150030448,0.09492826159492829
2019-10-28,65.51,68.17,64.52,65.54,94351432,-0.0013713240895930623
2019-10-29,64.0,64.86,62.95,63.24,63421336,-0.035093072932560365
2019-10-30,62.6,63.76,61.99,63.0,48209048,-0.003795066413662229
2019-10-31,62.62,63.8,62.6,62.98,25334780,-0.00031746031746038295
2019-11-01,63.26,63.3,61.96,62.66,31919644,-0.005080978088282007
2019-11-04,62.96,64.39,61.85,63.49,43935200,0.013246090009575662
2019-11-05,63.92,64.7,63.22,63.44,34717084,-0.0007875255945818393
2019-11-06,63.6,65.34,62.9,65.32,39704660,0.02963430012610324
2019-11-07,65.83,68.3,65.6,67.11,72336736,0.027403551745254218
2019-11-08,66.9,67.49,66.5,67.43,30371104,0.00476829086574293
2019-11-11,68.79,69.84,68.4,69.02,49968444,0.0235800088981164
2019-11-12,69.38,70.07,68.81,69.99,36796916,0.014053897421037354
2019-11-13,71.0,71.27,69.04,69.22,42339316,-0.011001571653093234
2019-11-14,69.22,70.77,68.58,69.87,32358516,0.009390349609939452
2019-11-15,70.13,70.56,69.67,70.43,24062816,0.008014884786031296
2019-11-18,70.58,70.63,69.22,70.0,22042524,-0.006105352832599831
2019-11-19,70.35,72.0,69.56,71.9,38680392,0.027142857142857135
2019-11-20,72.0,72.24,69.91,70.44,33669824,-0.020305980528511958
2019-11-21,70.9,72.17,70.8,70.97,30550064,0.007524134014764261
2019-11-22,68.03,68.2,66.0,66.61,84353208,-0.061434408905171156
2019-11-25,68.86,68.91,66.89,67.27,61728824,0.009908422158835029
2019-11-26,67.05,67.1,65.42,65.78,39781196,-0.022149546603240644
2019-11-27,66.22,66.79,65.71,66.26,27817296,0.00729705077531162
2019-11-29,66.22,66.25,65.5,65.99,12328145,-0.00407485662541518
2019-12-02,65.88,67.28,65.74,66.97,30409930,0.01485073495984257
2019-12-03,66.52,67.58,66.44,67.24,33067380,0.0040316559653574835
2019-12-04,67.55,67.57,66.57,66.61,27681276,-0.00936942296252219
2019-12-05,66.57,66.88,65.45,66.07,18684880,-0.00810689085722871
2019-12-06,67.0,67.77,66.95,67.18,38094684,0.016800363251097572
2019-12-09,67.32,68.89,67.02,67.91,45201084,0.010866329264662022
2019-12-10,67.99,70.15,67.86,69.77,44199756,0.027389191577087413
2019-12-11,70.38,71.44,70.22,70.54,34595808,0.01103626200372676
2019-12-12,70.98,72.55,70.65,71.94,38881056,0.019846895378508478
2019-12-13,72.21,73.04,70.93,71.68,32871404,-0.003614122880177817
2019-12-16,72.51,76.72,72.5,76.3,91104704,0.06445312499999978
2019-12-17,75.8,77.1,75.18,75.8,42518876,-0.006553079947575369
2019-12-18,76.13,79.04,76.12,78.63,70681960,0.037335092348284915
2019-12-19,79.46,81.37,79.3,80.81,90601536,0.027724786976980775
2019-12-20,82.06,82.6,80.04,81.12,73926032,0.003836158891226349
2019-12-23,82.36,84.4,82.0,83.84,66664104,0.0335305719921104
2019-12-24,83.67,85.09,82.54,85.05,40273600,0.01443225190839681
2019-12-26,85.58,86.7,85.27,86.19,53241444,0.013403880070546714
2019-12-27,87.0,87.06,85.22,86.08,49784136,-0.0012762501450284125
2019-12-30,85.76,85.8,81.85,82.94,63006324,-0.03647769516728627
2019-12-31,81.0,84.26,80.42,83.67,51462280,0.008801543284302049
2020-01-02,84.9,86.14,84.34,86.05,47791928,0.0284450818692481
2020-01-03,88.1,90.8,87.38,88.6,88973488,0.029633933759442233
2020-01-06,88.09,90.31,88.0,90.31,50787496,0.019300225733634324
2020-01-07,92.28,94.33,90.67,93.81,91045688,0.03875539807330308
2020-01-08,94.74,99.7,93.65,98.43,155996960,0.04924848097217782
2020-01-09,99.42,99.76,94.57,96.27,142315936,-0.021944529106979638
2020-01-10,96.36,96.99,94.74,95.63,64884160,-0.006647969253142261
2020-01-13,98.7,105.13,98.4,104.97,133172736,0.09766809578584135
2020-01-14,108.85,109.48,104.98,107.58,145306880,0.024864246927693623
2020-01-15,105.95,107.57,103.36,103.7,86844152,-0.036066183305447086
2020-01-16,98.75,102.89,98.43,102.7,108683264,-0.009643201542912205
2020-01-17,101.52,103.13,100.63,102.1,68145368,-0.0058422590068160085
2020-01-21,106.05,109.72,105.68,109.44,89017352,0.07189030362389826
2020-01-22,114.38,118.9,111.82,113.91,156845136,0.040844298245614086
2020-01-23,112.85,116.4,111.12,114.44,98255208,0.004652796067070586
2020-01-24,114.13,114.77,110.85,112.96,71768000,-0.012932541069556103
2020-01-27,108.4,112.89,107.86,111.6,68040336,-0.012039660056657242
2020-01-28,113.7,115.36,111.62,113.38,58942464,0.015949820788530467
2020-01-29,115.14,117.96,113.49,116.2,91083360,0.024872111483506876
2020-01-30,126.48,130.18,123.6,128.16,145028384,0.1029259896729775
2020-01-31,128.0,130.6,126.5,130.11,78596328,0.015215355805243469
2020-02-03,134.74,157.23,134.7,156.0,236167472,0.19898547382983622
2020-02-04,176.59,193.8,166.78,177.41,304693792,0.13724358974358974
2020-02-05,164.65,169.2,140.82,146.94,242119184,-0.171749055859309
2020-02-06,139.98,159.17,137.4,149.79,199403760,0.019395671702735706
2020-02-07,146.11,153.95,146.0,149.61,85317608,-0.0012016823552972733
2020-02-10,160.0,164.0,150.48,154.26,123445816,0.031080810106276058
2020-02-11,153.76,156.7,151.6,154.88,58487364,0.004019188383248995
2020-02-12,155.57,157.95,152.67,153.46,60112352,-0.009168388429751984
2020-02-13,148.37,163.6,147.0,160.8,131446736,0.04783005343411961
2020-02-14,157.44,162.59,157.1,160.01,78468552,-0.004912935323383216
2020-02-18,168.32,172.0,166.47,171.68,83491848,0.07293294169114439
2020-02-19,184.7,188.96,180.2,183.48,127114792,0.06873252562907717
2020-02-20,182.39,182.4,171.99,179.88,88174464,-0.01962066710268151
2020-02-21,181.4,182.61,176.09,180.2,71697232,0.0017789637536134162
2020-02-24,167.8,172.7,164.44,166.76,75960816,-0.07458379578246388
2020-02-25,169.8,171.32,157.4,159.98,86452408,-0.04065723195010795
2020-02-26,156.5,162.66,155.22,155.76,70769216,-0.0263782972871609
2020-02-27,146.0,147.95,133.8,135.8,121385800,-0.12814586543400086
2020-02-28,125.94,138.1,122.3,133.6,122820856,-0.01620029455081018
2020-03-02,142.25,148.74,137.33,148.72,100974952,0.11317365269461077
2020-03-03,161.0,161.4,143.22,149.1,128920016,0.002555137170521693
2020-03-04,152.79,153.3,144.95,149.9,75244888,0.005365526492287165
2020-03-05,144.75,149.15,143.61,144.91,54263284,-0.033288859239493096
2020-03-06,138.0,141.4,136.85,140.7,63314592,-0.029052515354357933
2020-03-09,121.08,132.6,121.0,121.6,85368704,-0.1357498223169865
2020-03-10,131.89,133.6,121.6,129.07,77972216,0.06143092105263159
2020-03-11,128.04,130.72,122.6,126.85,67067936,-0.01719996900906484
2020-03-12,116.18,118.9,109.25,112.11,94545264,-0.11620023649980293
2020-03-13,119.0,121.51,100.4,109.32,113201272,-0.024886272411024923
2020-03-16,93.9,98.97,88.43,89.01,102447320,-0.18578485181119642
2020-03-17,88.0,94.37,79.2,86.04,119972896,-0.0333670374115268
2020-03-18,77.8,80.97,70.1,72.24,118930808,-0.16039051603905174
2020-03-19,74.94,90.4,71.69,85.53,150977296,0.18397009966777422
2020-03-20,87.64,95.4,85.16,85.51,141427504,-0.00023383608090721264
2020-03-23,86.72,88.4,82.1,86.86,82272744,0.015787627178107666
2020-03-24,95.46,102.74,94.8,101.0,114475848,0.16279069767441867
2020-03-25,109.05,111.4,102.22,107.85,106113728,0.06782178217821766
2020-03-26,109.48,112.0,102.45,105.63,87110408,-0.02058414464534075
2020-03-27,101.0,105.16,98.81,102.87,71887040,-0.026128940641862997
2020-03-30,102.05,103.33,98.25,100.43,59990336,-0.023719257315057862
2020-03-31,100.25,108.59,99.4,104.8,88857424,0.04351289455342022
2020-04-01,100.8,102.79,95.02,96.31,66765900,-0.08101145038167934
2020-04-02,96.21,98.85,89.28,90.89,99292136,-0.056276606790572115
2020-04-03,101.9,103.1,93.68,96.0,112810384,0.056221806579381584
2020-04-06,102.24,104.2,99.59,103.25,74509184,0.07552083333333326
2020-04-07,109.0,113.0,106.47,109.09,89598920,0.05656174334140429
2020-04-08,110.84,111.44,106.67,109.77,63280120,0.006233385278210601
2020-04-09,112.42,115.04,111.42,114.6,68250000,0.04400109319486201
2020-04-13,118.03,130.4,116.11,130.19,112377104,0.1360383944153578
2020-04-14,139.79,148.38,138.49,141.98,152882560,0.09055995084107837
2020-04-15,148.4,150.63,142.0,145.97,117885008,0.028102549654881015
2020-04-16,143.39,151.89,141.34,149.04,103289312,0.021031718846338254
2020-04-17,154.46,154.99,149.53,150.78,65641184,0.011674718196457379
2020-04-20,146.54,153.11,142.44,149.27,73732888,-0.010014590794535039
2020-04-21,146.02,150.67,134.76,137.34,101045464,-0.07992228847055671
2020-04-22,140.8,146.8,137.74,146.42,71124152,0.06611329547109346
2020-04-23,145.52,146.8,140.63,141.13,66183484,-0.03612894413331502
2020-04-24,142.16,146.15,139.64,145.03,66188060,0.02763409622334012
2020-04-27,147.52,159.9,147.0,159.75,103407208,0.10149624215679509
2020-04-28,159.13,161.0,151.34,153.82,76109824,-0.03712050078247264
2020-04-29,158.03,160.64,156.63,160.1,81079912,0.04082694057989866
2020-04-30,171.04,173.96,152.7,156.38,142359264,-0.023235477826358486
2020-05-01,151.0,154.55,136.61,140.26,162659040,-0.10308223557999752
2020-05-04,140.2,152.4,139.6,152.24,96185448,0.08541280479110247
2020-05-05,157.96,159.78,152.44,153.64,84958280,0.009196006305832727
2020-05-06,155.3,157.96,152.22,156.52,55616156,0.018745118458734833
2020-05-07,155.44,159.28,154.47,156.01,57638432,-0.0032583695374394095
2020-05-08,158.75,164.8,157.4,163.88,80650432,0.05044548426382933
2020-05-11,158.1,164.8,157.0,162.26,82598008,-0.00988528191359539
2020-05-12,165.4,168.66,161.6,161.88,79534528,-0.0023419203747072626
2020-05-13,164.17,165.2,152.66,158.19,95327456,-0.022794662713120806
2020-05-14,156.0,160.67,152.8,160.67,68410944,0.015677350022125225
2020-05-15,158.07,161.01,157.31,159.83,52592140,-0.005228107300678242
2020-05-18,165.56,166.94,160.78,162.73,58490512,0.018144278295689098
2020-05-19,163.03,164.41,161.22,161.6,48182608,-0.006944017698027327
2020-05-20,164.1,165.2,162.36,163.11,36546356,0.00934405940594063
2020-05-21,163.2,166.5,159.2,165.52,61272920,0.014775305008889683
2020-05-22,164.43,166.36,162.4,163.38,49937376,-0.012928951184147053
2020-05-26,166.9,166.92,163.14,163.77,40448680,0.0023870730811605956
2020-05-27,164.17,165.54,157.0,164.05,57747648,0.00170971484398863
2020-05-28,162.7,164.95,160.34,161.16,36378872,-0.01761658031088087
2020-05-29,161.75,167.0,160.84,167.0,59062444,0.0362372797220154
